order,p,d,q,trend_req,trend_used,AIC,RMSE_test,MSE_test,status,error
"(1,1,2)",1,1,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,2)",1,1,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,1,2)",1,1,2,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,0)",1,2,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,0)",1,2,0,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,0)",1,2,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,0)",1,2,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,1)",1,2,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,1)",1,2,1,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,1)",1,2,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,1)",1,2,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,2)",1,2,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,2)",1,2,2,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,2)",1,2,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(1,2,2)",1,2,2,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,1,0)",2,1,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,1,0)",2,1,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,1,0)",2,1,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,1,1)",2,1,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,1,1)",2,1,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,1,1)",2,1,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,1,2)",2,1,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,1,2)",2,1,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,1,2)",2,1,2,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,0)",2,2,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,0)",2,2,0,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,0)",2,2,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,0)",2,2,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,1)",2,2,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,1)",2,2,1,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,1)",2,2,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,1)",2,2,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,2)",2,2,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,2)",2,2,2,t,t,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,2)",2,2,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(2,2,2)",2,2,2,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(3,1,0)",3,1,0,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(3,1,0)",3,1,0,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(3,1,0)",3,1,0,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(3,1,1)",3,1,1,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(3,1,1)",3,1,1,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(3,1,1)",3,1,1,d,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(3,1,2)",3,1,2,c,c,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
"(3,1,2)",3,1,2,ct,ct,,,,FAIL,"In models with integration (`d > 0`) or seasonal integration (`D > 0`), trend terms of lower order than `d + D` cannot be (as they would be eliminated due to the differencing operation). For example, "
